头实体,关系,尾实体,来源文件
公共事业管理专业,入选,国家级一流本科专业建设点,公共管理学院.txt
行政管理专业,入选,国家级一流本科专业建设点,公共管理学院.txt
公共事业管理专业,排名,全国第二,公共管理学院.txt
公共管理学院,建立时间,2001年,公共管理学院.txt
公共管理学院,拥有教授,20人,公共管理学院.txt
公共管理学院,拥有副教授,18人,公共管理学院.txt
公共管理学院,博士化率,100%,公共管理学院.txt
公共管理一级学科,排名,前5%,公共管理学院.txt
公共管理学院,获得,国家教学成果一等奖,公共管理学院.txt
公共管理学院,获得,国家教学成果二等奖,公共管理学院.txt
公共管理学院,拥有,东盟研究中心,公共管理学院.txt
公共管理学院,拥有,非传统安全研究中心,公共管理学院.txt
公共管理学院,拥有,文科综合实验教学中心,公共管理学院.txt
公共管理学院,拥有,湖北省技术转移研究与培训中心,公共管理学院.txt
公共管理学院,拥有,电子决策剧场,公共管理学院.txt
公共事业管理专业,是,国家级特色专业建设点,公共管理学院.txt
公共事业管理专业,是,湖北省品牌专业,公共管理学院.txt
公共事业管理专业,入选,荆楚卓越人才协同育人计划,公共管理学院.txt
行政管理专业,前身,政治学与行政学专业,公共管理学院.txt
行政管理专业,更名时间,2018年,公共管理学院.txt
公共管理学院,就业率,95%,公共管理学院.txt
公共管理学院,本科生升学率,55%,公共管理学院.txt
公共管理学院,与美国雪城大学,签订联合培养协议,公共管理学院.txt
公共管理学院,与美国佛罗里达州立大学,签订联合培养协议,公共管理学院.txt
公共管理学院,与香港科技大学,签订联合培养协议,公共管理学院.txt
3位教授,享受,国务院政府特殊津贴,公共管理学院.txt
1位教授,入选,"教育部""青年长江学者""",公共管理学院.txt
3位教授,入选,"教育部""新世纪优秀人才支持计划""",公共管理学院.txt
3位教授,参加,国家西部人才计划项目,公共管理学院.txt
公共管理学院,培养方向,公共管理人才,公共管理学院.txt
公共管理学院,办学理念,"""领导者的摇篮，政府的思想库""",公共管理学院.txt
公共事业管理专业,核心课程包括,公共管理学,公共管理学院.txt
公共事业管理专业,核心课程包括,微观经济学,公共管理学院.txt
行政管理专业,核心课程包括,公共管理学,公共管理学院.txt
行政管理专业,核心课程包括,行政管理学,公共管理学院.txt
公共管理学院,在疫情防控中,提供决策咨询,公共管理学院.txt
公共管理学院,建设目标,"""国内一流、国际知名的公共管理人才培养重镇""",公共管理学院.txt
主语,谓语,宾语,化学与化工学院.txt
化学与化工学院,实施,"""四个三工程""改革",化学与化工学院.txt
化学与化工学院,依托,8个校内国家级科研平台,化学与化工学院.txt
化学与化工学院,设有,应用化学专业,化学与化工学院.txt
化学与化工学院,设有,化学专业,化学与化工学院.txt
化学与化工学院,培养目标,化学创新人才,化学与化工学院.txt
化学与化工学院,秉持,"""志趣驱动、科创引领""育人理念",化学与化工学院.txt
化学专业,培养目标,创新型人才,化学与化工学院.txt
化学专业,面向,国家重大战略需求,化学与化工学院.txt
化学专业,设置课程,无机化学,化学与化工学院.txt
化学专业,设置课程,分析化学,化学与化工学院.txt
化学专业,设置课程,物理化学,化学与化工学院.txt
化学专业,设置课程,有机化学,化学与化工学院.txt
应用化学专业,培养目标,复合型人才,化学与化工学院.txt
应用化学专业,聚焦,学科发展前沿,化学与化工学院.txt
应用化学专业,设置课程,分析化学,化学与化工学院.txt
应用化学专业,设置课程,物理化学,化学与化工学院.txt
应用化学专业,设置课程,有机化学,化学与化工学院.txt
应用化学专业,设置课程,化工原理,化学与化工学院.txt
化学学科,ESI排名,全球前100名,化学与化工学院.txt
化学学科,"""自然指数""排名",世界第44位,化学与化工学院.txt
化学学科,"""软科""排名",世界第46位,化学与化工学院.txt
化学专业毕业生,可从事职业,科研工作者,化学与化工学院.txt
化学专业毕业生,可从事职业,材料工程师,化学与化工学院.txt
化学专业毕业生,可从事职业,质量检测员,化学与化工学院.txt
化学专业毕业生,可从事职业,医药学家,化学与化工学院.txt
人工智能化学方向,培养,创新型人才,化学与化工学院.txt
人工智能化学方向,涉及领域,人工智能,化学与化工学院.txt
人工智能化学方向,涉及领域,化学,化学与化工学院.txt
医药卫生管理学院,实行,本科生导师制,医药卫生管理学院.txt
医药卫生管理学院,采用,小班教学,医药卫生管理学院.txt
医药卫生管理学院,邀请,业界知名专家授课,医药卫生管理学院.txt
医药卫生管理学院,前往,大型三甲医院实习实践,医药卫生管理学院.txt
医药卫生管理学院,前往,卫生行政部门实习实践,医药卫生管理学院.txt
医药卫生管理学院,开展,社会实践,医药卫生管理学院.txt
医药卫生管理学院,开展,志愿服务,医药卫生管理学院.txt
医药卫生管理学院,开展,学术论坛,医药卫生管理学院.txt
医药卫生管理学院,建设,卓越教育体系,医药卫生管理学院.txt
医药卫生管理学院毕业生,深造比例,65%,医药卫生管理学院.txt
医药卫生管理学院毕业生,就业比例,35%,医药卫生管理学院.txt
医药卫生管理学院,是,双一流建设高校中第一所医药卫生管理学院,医药卫生管理学院.txt
医药卫生管理学院,拥有,公共事业管理专业,医药卫生管理学院.txt
医药卫生管理学院,拥有,信息管理与信息系统专业,医药卫生管理学院.txt
公共事业管理专业,获评,全国第六批高等学校特色专业建设点,医药卫生管理学院.txt
医药卫生管理学院,建设有,国家医保研究院华科基地,医药卫生管理学院.txt
医药卫生管理学院,建设有,湖北省高校人文社会科学重点研究基地,医药卫生管理学院.txt
医药卫生管理学院,建设有,湖北省卫生技术评估研究中心,医药卫生管理学院.txt
冯占春教授,荣获,全国科技系统抗击新冠肺炎疫情先进个人称号,医药卫生管理学院.txt
公共事业管理专业,培养目标,复合型管理人才和研究者,医药卫生管理学院.txt
公共事业管理专业,课程包含,卫生事业管理学,医药卫生管理学院.txt
公共事业管理专业,课程包含,卫生经济学,医药卫生管理学院.txt
信息管理与信息系统专业,培养目标,复合创新型专业人才,医药卫生管理学院.txt
信息管理与信息系统专业,属于,医学、计算机科学和管理学交叉学科,医药卫生管理学院.txt
信息管理与信息系统专业,课程包含,健康医疗大数据分析,医药卫生管理学院.txt
信息管理与信息系统专业,课程包含,医学人工智能,医药卫生管理学院.txt
医药卫生管理学院毕业生,可成为,卫生行政人员,医药卫生管理学院.txt
医药卫生管理学院毕业生,可成为,医疗卫生机构管理人员,医药卫生管理学院.txt
医药卫生管理学院毕业生,可成为,大数据工程师,医药卫生管理学院.txt
口腔医学,是,一流学科,口腔医学院.txt
口腔医学,获评,国家级一流本科专业建设点,口腔医学院.txt
口腔医学,获评,一级学科博士学位授权点,口腔医学院.txt
口腔医学,获得,"泰晤士高等教育世界大学排名""A-""学科",口腔医学院.txt
口腔医学,获得,软科中国大学专业排名A级学科,口腔医学院.txt
口腔医学院,拥有,全国宝钢优秀教师奖,口腔医学院.txt
口腔医学院,拥有,全国创新争先奖,口腔医学院.txt
口腔医学院,拥有,中国青年女科学家奖,口腔医学院.txt
口腔医学院,拥有,国家杰青,口腔医学院.txt
口腔医学院,拥有,万人计划专家,口腔医学院.txt
口腔医学院,拥有,国家重点研发计划首席科学家,口腔医学院.txt
口腔医学院,拥有,口腔全科全国重点住培基地,口腔医学院.txt
口腔医学院,拥有,口腔颌面发育与再生湖北省重点实验室,口腔医学院.txt
口腔医学院,获得,IADR/AADR威廉盖茨奖,口腔医学院.txt
口腔医学院,获得,华夏医学科技奖一等奖,口腔医学院.txt
口腔医学院,获得,湖北省科技进步一等奖,口腔医学院.txt
口腔医学院,获得,湖北省高等学校教学成果奖一等奖,口腔医学院.txt
口腔医学专业,是,国家级一流本科专业建设点,口腔医学院.txt
口腔医学专业,是,口腔医学一级学科博士学位授权点,口腔医学院.txt
口腔医学院,拥有,国家级实验教学示范基地,口腔医学院.txt
口腔医学院,拥有,国家临床教学培训示范中心,口腔医学院.txt
口腔医学院,拥有,湖北省口腔全科诊疗中心,口腔医学院.txt
口腔医学院,拥有,湖北省优秀基层教学组织,口腔医学院.txt
口腔医学院,拥有,湖北省名师工作室,口腔医学院.txt
口腔医学院,拥有,湖北省口腔健康科普基地,口腔医学院.txt
口腔医学院,拥有,牙科综合治疗椅202台,口腔医学院.txt
口腔医学院,拥有,病床165张,口腔医学院.txt
口腔医学院,年门急诊量,40万人次,口腔医学院.txt
口腔医学院,年手术量,6000人次,口腔医学院.txt
口腔医学院,坚持,国际化办学模式,口腔医学院.txt
口腔医学院,合作,美国哈佛大学,口腔医学院.txt
口腔医学院,合作,美国密歇根大学,口腔医学院.txt
口腔医学院,合作,英国伯明翰大学,口腔医学院.txt
口腔医学专业,培养目标,具有家国情怀、人文关怀和世界胸怀的口腔医学科学家,口腔医学院.txt
口腔医学专业,就业率,100%,口腔医学院.txt
口腔医学专业,学制,五年,口腔医学院.txt
口腔医学专业,最低学分要求,221.5学分,口腔医学院.txt
口腔医学专业,开设课程,口腔正畸学,口腔医学院.txt
口腔医学专业,开设课程,口腔颌面外科学,口腔医学院.txt
口腔医学专业,开设课程,牙体牙髓病学,口腔医学院.txt
口腔医学专业,开设课程,口腔修复学,口腔医学院.txt
口腔医学专业,开设课程,口腔种植学,口腔医学院.txt
口腔医学专业,开设课程,口腔美学,口腔医学院.txt
口腔医学专业,开设课程,口腔材料学,口腔医学院.txt
口腔医学专业,职业发展,口腔医学科学家,口腔医学院.txt
口腔医学专业,职业发展,口腔临床医生,口腔医学院.txt
口腔医学专业,职业发展,高校教师,口腔医学院.txt
口腔医学专业,职业发展,相关公司培训、销售及行管人员,口腔医学院.txt
哲学学院,拥有,本、硕、博、博士后全链条人才培养体系,哲学学院.txt
哲学学院,拥有,哲学一级学科博士、硕士学位授予权,哲学学院.txt
哲学专业,入选,"教育部""双万计划""国家级一流本科专业",哲学学院.txt
哲学专业,入选,"教育部""强基计划""专业",哲学学院.txt
哲学学院,拥有,国家教学名师1名,哲学学院.txt
哲学学院,入选,"""湖北省省级教学团队""",哲学学院.txt
哲学学院,建成,国家级一流本科课程1门,哲学学院.txt
哲学学院,建成,国家精品资源共享课程1门,哲学学院.txt
哲学学院,建成,国家视频精品公开课2门,哲学学院.txt
哲学学院,主编,国家级规划教材3本,哲学学院.txt
哲学学院,主持,首批教育部新文科研究与改革实践项目,哲学学院.txt
哲学学院,主编,集刊《课程思政教学研究》,哲学学院.txt
哲学学院,首创,科学精神与哲学素养相融合的哲学本科人才培养模式,哲学学院.txt
哲学学院,培养,新时代一流哲学本科人才,哲学学院.txt
哲学学院,近五年主持,国家级、省部级基金项目约40项,哲学学院.txt
哲学学院,获,国家级教学成果一等奖,哲学学院.txt
哲学学院,获,省级教学成果一等奖、二等奖4项,哲学学院.txt
欧阳康,是,国家教学名师,哲学学院.txt
邓晓芒,是,著名哲学家,哲学学院.txt
钟林,是,2010届哲学专业本科毕业生,哲学学院.txt
张若愚,是,2013届哲学专业本科毕业生,哲学学院.txt
敖鑫,是,2018届哲学专业本科毕业生,哲学学院.txt
哲学专业,设置课程,西方哲学史,哲学学院.txt
哲学专业,设置课程,中国哲学史,哲学学院.txt
哲学专业,设置课程,马克思主义哲学史,哲学学院.txt
哲学专业,设置课程,心灵哲学,哲学学院.txt
哲学专业,设置课程,科学技术哲学,哲学学院.txt
哲学专业,设置课程,政治哲学,哲学学院.txt
哲学专业,设置课程,应用伦理学,哲学学院.txt
哲学专业,设置课程,人工智能哲学,哲学学院.txt
哲学专业,设置课程,人文社会科学哲学,哲学学院.txt
哲学专业,设置课程,逻辑学,哲学学院.txt
哲学专业毕业生,可从事职业,党政机关公务员,哲学学院.txt
哲学专业毕业生,可从事职业,大中小学教师,哲学学院.txt
哲学专业毕业生,可从事职业,新闻媒体记者,哲学学院.txt
哲学专业毕业生,可从事职业,司法工作人员,哲学学院.txt
哲学专业毕业生,可从事职业,出版社编辑,哲学学院.txt
主语,谓语,宾语,土木与水利工程学院.txt
学院,拥有,中国工程院院士2人,土木与水利工程学院.txt
学院,拥有,外籍院士1人,土木与水利工程学院.txt
学院,形成,高层次人才链,土木与水利工程学院.txt
土木工程,入选,国家级一流本科专业建设点,土木与水利工程学院.txt
工程管理,入选,国家级一流本科专业建设点,土木与水利工程学院.txt
水利水电工程,入选,国家级一流本科专业建设点,土木与水利工程学院.txt
智能建造,是,新工科专业,土木与水利工程学院.txt
交通工程,入选,省级一流本科专业建设点,土木与水利工程学院.txt
土木工程学科,排名,全球第40,土木与水利工程学院.txt
土木工程学科,评级,A+,土木与水利工程学院.txt
水利工程学科,评级,A+,土木与水利工程学院.txt
学院,拥有,土木工程一级学科博士和硕士学位授予权,土木与水利工程学院.txt
学院,拥有,水利工程一级学科博士和硕士学位授予权,土木与水利工程学院.txt
学院,涵盖,智能建造专业,土木与水利工程学院.txt
学院,涵盖,土木工程专业,土木与水利工程学院.txt
学院,涵盖,工程管理专业,土木与水利工程学院.txt
学院,涵盖,交通工程专业,土木与水利工程学院.txt
学院,涵盖,水利水电工程专业,土木与水利工程学院.txt
学院,获得,国家科技进步二等奖8项,土木与水利工程学院.txt
学院,获得,省部级科技奖60余项,土木与水利工程学院.txt
智能建造专业,培养,高素质复合型人才,土木与水利工程学院.txt
土木工程专业,培养,高级专门人才,土木与水利工程学院.txt
工程管理专业,培养,高层次人才,土木与水利工程学院.txt
交通工程专业,培养,行业领军人才,土木与水利工程学院.txt
水利水电工程专业,培养,杰出人才,土木与水利工程学院.txt
韩钟骐,毕业于,土木工程专业,土木与水利工程学院.txt
韩钟骐,就读于,清华大学,土木与水利工程学院.txt
王玉飞,毕业于,水利水电工程专业,土木与水利工程学院.txt
王玉飞,就读于,日本筑波大学,土木与水利工程学院.txt
何宇辰,毕业于,工程管理专业,土木与水利工程学院.txt
何宇辰,就读于,浙江大学,土木与水利工程学院.txt
黄明阳,毕业于,土木工程专业,土木与水利工程学院.txt
黄明阳,就业于,深圳铁路投资建设集团有限公司,土木与水利工程学院.txt
基础医学专业,属于,国家强基计划招生,基础医学院.txt
基础医学,是,"国家首批""双一流""建设学科",基础医学院.txt
基础医学院,始于,1907年,基础医学院.txt
基础医学院,培养出,20位中外院士,基础医学院.txt
基础医学院,培养出,1位原卫生部部长,基础医学院.txt
基础医学院,培养出,2位副部长,基础医学院.txt
基础医学,入选,国家基础学科拔尖学生培养基地2.0,基础医学院.txt
基础医学院,拥有,国家级基础医学实验教学示范中心,基础医学院.txt
基础医学院,获得,国家教学成果二等奖3项,基础医学院.txt
基础医学院,主编,国家级规划教材15本,基础医学院.txt
基础医学院,建成,国家金课7门,基础医学院.txt
基础医学院,拥有,省部级重点实验室2个,基础医学院.txt
基础医学院,拥有,国家自然科学基金委创新群体2个,基础医学院.txt
基础医学院,承担,国家级重大重点项目67项,基础医学院.txt
基础医学院,与,英国伯明翰大学联合培养,基础医学院.txt
基础医学,聚焦,重大疾病研究,基础医学院.txt
基础医学,聚焦,生物医学科学前沿问题,基础医学院.txt
基础医学,形成,脑科学发展方向,基础医学院.txt
基础医学,形成,药理学与毒理学发展方向,基础医学院.txt
基础医学,形成,细胞与分子遗传学发展方向,基础医学院.txt
基础医学,形成,代谢与免疫学发展方向,基础医学院.txt
基础医学,形成,感知生物学发展方向,基础医学院.txt
基础医学专业,采用,本硕博衔接培养,基础医学院.txt
基础医学专业,实行,"""三制三化""模式",基础医学院.txt
基础医学,提供支撑,医学前沿技术,基础医学院.txt
基础医学,提供支撑,慢病防控,基础医学院.txt
基础医学,提供支撑,精准医学,基础医学院.txt
基础医学,提供支撑,智慧医疗,基础医学院.txt
基础医学,提供支撑,医疗器械,基础医学院.txt
基础医学,提供支撑,中医药现代化,基础医学院.txt
基础医学,提供支撑,创新药物研发,基础医学院.txt
卢嘉振,就读于,北京大学前沿交叉学科研究院,基础医学院.txt
孟宇飞,保研至,中国科学院大学生物物理所,基础医学院.txt
肖楚舒,就读于,清华大学免疫学方向,基础医学院.txt
主语,谓语,宾语,外国语学院.txt
学院,推行,"""外语+其他专业（二学位",外国语学院.txt
学院,推行,"""英语+国际商务人才培养模式""",外国语学院.txt
学院,合作,美国高校,外国语学院.txt
学院,合作,法国高校,外国语学院.txt
学院,合作,德国高校,外国语学院.txt
学院,合作,日本高校,外国语学院.txt
学院,合作,澳大利亚高校,外国语学院.txt
学院,提供,口译服务,外国语学院.txt
英语专业,入选,国家级一流本科专业建设点,外国语学院.txt
翻译专业,入选,国家级一流本科专业建设点,外国语学院.txt
日语专业,入选,省级一流本科专业建设点,外国语学院.txt
德语专业,入选,省级一流本科专业建设点,外国语学院.txt
法语专业,入选,省级一流本科专业建设点,外国语学院.txt
学院,设有,一级学科博士学位授权点,外国语学院.txt
学院,设有,一级学科硕士学位授权点,外国语学院.txt
学院,拥有,同声传译实验室,外国语学院.txt
学院,拥有,计算机辅助翻译实验室,外国语学院.txt
学院,拥有,口译实训平台,外国语学院.txt
学院,拥有,湖北省语言学习示范中心,外国语学院.txt
学院,有,专任教师161人,外国语学院.txt
英语专业,培养,复合型人才,外国语学院.txt
英语专业,培养,国际化经营管理人才,外国语学院.txt
翻译专业,培养,应用复合型高端翻译专业人才,外国语学院.txt
日语专业,培养,高素质人才,外国语学院.txt
德语专业,培养,复合型人才,外国语学院.txt
法语专业,培养,高水平法语复合型人才,外国语学院.txt
英语+国际商务专业,授予,文学学士学位,外国语学院.txt
英语+国际商务专业,授予,管理学学士学位,外国语学院.txt
翻译专业,国内排名,第6名,外国语学院.txt
日语专业,被评为,5星专业,外国语学院.txt
法语专业教师,博士化率,100%,外国语学院.txt
毕业生,就业于,政府对外工作部门,外国语学院.txt
毕业生,就业于,大型国企海外销售,外国语学院.txt
毕业生,就业于,公办中小学教师,外国语学院.txt
罗含艺,毕业于,法语专业,外国语学院.txt
罗含艺,保研至,北京大学燕京学堂,外国语学院.txt
尹晓妍,毕业于,英语+国际商务专业,外国语学院.txt
尹晓妍,攻读,伦敦大学学院对外英语教学专业硕士,外国语学院.txt
王思远,毕业于,翻译专业,外国语学院.txt
王思远,入职于,北京新华社总社对外部经济新闻采编室,外国语学院.txt
主语,谓语,宾语,建筑科学与工程学院.txt
华中科技大学建筑与城市规划学院,下设,建筑学系,建筑科学与工程学院.txt
华中科技大学建筑与城市规划学院,下设,城市规划系,建筑科学与工程学院.txt
华中科技大学建筑与城市规划学院,下设,景观学系,建筑科学与工程学院.txt
华中科技大学建筑与城市规划学院,下设,设计学系,建筑科学与工程学院.txt
华中科技大学建筑与城市规划学院,下设,《新建筑》杂志社,建筑科学与工程学院.txt
华中科技大学建筑与城市规划学院,下设,环境与建筑湖北省实验教学示范中心,建筑科学与工程学院.txt
华中科技大学建筑与城市规划学院,下设,人居环境虚拟仿真实验教学中心,建筑科学与工程学院.txt
华中科技大学建筑与城市规划学院,下设,湖北省城镇化工程技术研究中心,建筑科学与工程学院.txt
华中科技大学建筑与城市规划学院,下设,数字光影湖北省工程研究中心,建筑科学与工程学院.txt
华中科技大学建筑与城市规划学院,下设,湖北省民族地区乡村振兴研究与实训基地,建筑科学与工程学院.txt
华中科技大学建筑与城市规划学院,下设,共享遗产国际科学委员会武汉研究中心,建筑科学与工程学院.txt
华中科技大学建筑与城市规划学院,拥有,建筑学一级学科博士学位授予权,建筑科学与工程学院.txt
华中科技大学建筑与城市规划学院,拥有,城乡规划学一级学科博士学位授予权,建筑科学与工程学院.txt
华中科技大学建筑与城市规划学院,拥有,风景园林学工程景观二级学科博士点,建筑科学与工程学院.txt
华中科技大学建筑与城市规划学院,拥有,设计学室内设计二级学科博士点,建筑科学与工程学院.txt
建筑学,是,湖北省重点学科,建筑科学与工程学院.txt
城乡规划学,是,湖北省重点学科,建筑科学与工程学院.txt
城乡规划学,是,建设部重点学科,建筑科学与工程学院.txt
设计学,是,湖北省重点学科,建筑科学与工程学院.txt
建筑学,在2016年全国第四轮学科评估中排名,全国并列第6,建筑科学与工程学院.txt
城乡规划学,在2016年全国第四轮学科评估中排名,全国并列第6,建筑科学与工程学院.txt
风景园林学,在2016年全国第四轮学科评估中评级为,B-,建筑科学与工程学院.txt
设计学,在2016年全国第四轮学科评估中评级为,B-,建筑科学与工程学院.txt
建筑学,入选,"""双万计划""国家一流本科专业",建筑科学与工程学院.txt
城乡规划学,入选,"""双万计划""国家一流本科专业",建筑科学与工程学院.txt
风景园林,入选,"""双万计划""省级一流本科专业",建筑科学与工程学院.txt
环境设计,入选,"""双万计划""省级一流本科专业",建筑科学与工程学院.txt
华中科技大学建筑与城市规划学院,就业率超过,98%,建筑科学与工程学院.txt
华中科技大学建筑与城市规划学院本科生,出国深造比率达到,30%,建筑科学与工程学院.txt
华中科技大学建筑与城市规划学院,与,美、英、法、德、澳等国家的十余所相关院系建立联合培养机制,建筑科学与工程学院.txt
华中科技大学建筑与城市规划学院,拥有,近25000平米专业教学大楼,建筑科学与工程学院.txt
华中科技大学建筑与城市规划学院,拥有,近500平米图书分馆,建筑科学与工程学院.txt
建筑学专业,培养目标为,富有创造性的建筑学及相关学科高级专门人才,建筑科学与工程学院.txt
城乡规划专业,培养目标为,城乡规划设计、管理和研究的高级复合型专业人才,建筑科学与工程学院.txt
风景园林专业,培养目标为,具有创新意识和国际视野的高级专业技术人才,建筑科学与工程学院.txt
环境设计专业,培养目标为,"""艺术与技术""的应用型设计人才",建筑科学与工程学院.txt
数字媒体艺术专业,培养目标为,数字媒体艺术与设计领域具有较高综合素质的领导者,建筑科学与工程学院.txt
沈李蔚,毕业于,华中科技大学建筑与城市规划学院,建筑科学与工程学院.txt
沈李蔚,进入,哈佛大学设计学院景观系,建筑科学与工程学院.txt
黄彬凌,毕业于,华中科技大学建筑与城市规划学院,建筑科学与工程学院.txt
黄彬凌,保送,北京大学研究生,建筑科学与工程学院.txt
李彦群,就职于,中华人民共和国自然资源部,建筑科学与工程学院.txt
仇争艳,参与设计,雷神山医院,建筑科学与工程学院.txt
仇争艳,当选,党的二十大代表,建筑科学与工程学院.txt
仇争艳,获评,"""全国巾帼建功标兵""",建筑科学与工程学院.txt
主语,谓语,宾语,护理学院.txt
华中科技大学同济医学院护理学院,创建于,1936年,护理学院.txt
华中科技大学同济医学院护理学院,前身是,国立同济大学护理高级职业学校,护理学院.txt
华中科技大学同济医学院护理学院,拥有,本科、硕士、博士全链条人才培养体系,护理学院.txt
华中科技大学同济医学院护理学院,是,全国23个护理学一级学科博士学位授予点之一,护理学院.txt
华中科技大学同济医学院护理学院,是,湖北省唯一的护理学一级学科博士学位授予点,护理学院.txt
华中科技大学同济医学院护理学院,在2017年全国学科评估中获评,B,护理学院.txt
华中科技大学同济医学院护理学院,是,国家级一流本科专业点,护理学院.txt
华中科技大学同济医学院护理学院,是,湖北省一流本科专业点,护理学院.txt
华中科技大学同济医学院护理学院,秉承,"""一流大学、一流学科、一流护理""的发展理念",护理学院.txt
华中科技大学同济医学院护理学院,院训是,"""博爱 奉献 奋进 创新""",护理学院.txt
华中科技大学同济医学院护理学院,办学目标是,培养具有国际竞争力强、综合素质高的高级护理专门人才,护理学院.txt
华中科技大学同济医学院护理学院,办学理念是,"""瞄准前沿、开放办学，综合培养、强化实践""",护理学院.txt
华中科技大学同济医学院护理学院,践行,"""小规模、多层次、高水平""的护理人才培养计划",护理学院.txt
华中科技大学同济医学院护理学院,拥有,设施先进、配备齐全的实验教学中心,护理学院.txt
华中科技大学同济医学院护理学院,整合,11所附属医院优质护理教育资源,护理学院.txt
华中科技大学同济医学院护理学院,组建,10个教研室,护理学院.txt
华中科技大学同济医学院护理学院,装备,10个实验室,护理学院.txt
华中科技大学同济医学院护理学院,与,美国霍普金斯大学实质性合作,护理学院.txt
华中科技大学同济医学院护理学院,牵头搭建,"""国际老年护理联合科研平台""",护理学院.txt
护理学专业(四年制,英语班),"采用, 全英文教学模式",护理学院.txt
护理学专业(四年制,英语班),"是, 国家级一流本科专业",护理学院.txt
护理学专业(四年制,英语班),"是, 湖北省一流本科专业",护理学院.txt
护理学专业(四年制,英语班),"拥有, 科学、专业硕士学位授予权",护理学院.txt
护理学专业(四年制,普护班),"是, 国家级一流本科专业",护理学院.txt
护理学专业(四年制,普护班),"是, 湖北省一流本科专业",护理学院.txt
